iter	Passed	Remaining
294	1093	759
295	1096	755
296	1099	751
297	1102	747
298	1106	743
299	1109	739
300	1113	735
301	1116	732
302	1120	728
303	1124	725
304	1128	721
305	1132	717
306	1136	714
307	1139	710
308	1144	707
309	1147	703
310	1152	700
311	1156	696
312	1159	692
313	1163	689
314	1167	685
315	1170	681
316	1174	678
317	1178	674
318	1181	670
319	1185	666
320	1188	662
321	1192	659
322	1195	655
323	1199	651
324	1203	647
325	1206	644
326	1210	640
327	1214	636
328	1217	632
329	1220	628
330	1224	625
331	1228	621
332	1231	617
333	1235	614
334	1238	610
335	1242	606
336	1246	602
337	1249	599
338	1253	595
339	1257	591
340	1260	587
341	1264	583
342	1267	580
343	1271	576
344	1274	572
345	1278	568
346	1282	565
347	1285	561
348	1289	557
349	1292	554
350	1296	550
351	1299	546
352	1303	542
353	1307	539
354	1310	535
355	1314	531
356	1318	527
357	1321	524
358	1325	520
359	1328	516
360	1332	513
361	1336	509
362	1339	505
363	1343	501
364	1346	498
365	1350	494
366	1353	490
367	1357	486
368	1361	483
369	1365	479
370	1368	475
371	1372	472
372	1376	468
373	1379	464
374	1382	460
375	1387	457
376	1391	454
377	1395	450
378	1398	446
379	1402	442
380	1405	439
381	1408	435
382	1412	431
383	1415	427
384	1418	423
385	1422	420
386	1425	416
387	1428	412
388	1432	408
389	1435	404
390	1439	401
391	1442	397
392	1445	393
393	1448	389
394	1452	386
395	1455	382
396	1459	378
397	1463	375
398	1467	371
399	1470	367
400	1474	363
401	1477	360
402	1480	356
403	1484	352
404	1488	349
405	1491	345
406	1495	341
407	1498	337
408	1502	334
409	1505	330
410	1509	326
411	1512	323
412	1516	319
413	1520	315
414	1523	312
415	1527	308
416	1530	304
417	1534	301
418	1538	297
419	1542	293
420	1546	290
421	1549	286
422	1553	282
423	1556	279
424	1560	275
425	1564	271
426	1567	268
427	1571	264
428	1575	260
429	1578	257
430	1582	253
431	1586	249
432	1589	245
433	1593	242
434	1596	238
435	1600	234
436	1603	231
437	1607	227
438	1610	223
439	1614	220
440	1618	216
441	1622	212
442	1625	209
443	1629	205
444	1632	201
445	1636	198
446	1639	194
447	1643	190
448	1646	187
449	1650	183
450	1653	179
451	1657	176
452	1661	172
453	1664	168
454	1668	165
455	1672	161
456	1675	157
457	1679	154
458	1683	150
459	1686	146
460	1690	142
461	1693	139
462	1697	135
463	1701	131
464	1704	128
465	1708	124
466	1711	120
467	1714	117
468	1718	113
469	1722	109
470	1725	106
471	1729	102
472	1732	98
473	1736	95
474	1740	91
475	1743	87
476	1747	84
477	1751	80
478	1754	76
479	1758	73
480	1761	69
481	1765	65
482	1768	62
483	1772	58
484	1776	54
485	1779	51
486	1783	47
487	1786	43
488	1790	40
489	1793	36
490	1797	32
491	1801	29
492	1804	25
493	1808	21
494	1811	18
495	1815	14
496	1819	10
497	1822	7
498	1826	3
499	1829	0
